City_Name,State,PLACES_Pct_Any_Disability,PLACES_Pct_Arthritis,PLACES_Pct_BP_Medication,PLACES_Pct_Binge_Drinking,PLACES_Pct_COPD,PLACES_Pct_Cancer_NonSkin,PLACES_Pct_Cholesterol_Screening,PLACES_Pct_Cognitive_Disability,PLACES_Pct_Colorectal_Screening,PLACES_Pct_Coronary_Heart_Disease,PLACES_Pct_Current_Asthma,PLACES_Pct_Current_Smoking,PLACES_Pct_Dental_Visit,PLACES_Pct_Depression,PLACES_Pct_Diabetes,PLACES_Pct_Fair_Poor_Health,PLACES_Pct_Food_Insecurity,PLACES_Pct_Food_Stamps,PLACES_Pct_Frequent_Mental_Distress,PLACES_Pct_Frequent_Physical_Distress,PLACES_Pct_Hearing_Disability,PLACES_Pct_High_Blood_Pressure,PLACES_Pct_High_Cholesterol,PLACES_Pct_Housing_Insecurity,PLACES_Pct_Independent_Living_Disability,PLACES_Pct_Lack_Social_Support,PLACES_Pct_Loneliness,PLACES_Pct_Mammography,PLACES_Pct_Mobility_Disability,PLACES_Pct_Obesity,PLACES_Pct_Physical_Inactivity,PLACES_Pct_Routine_Checkup,PLACES_Pct_Self_Care_Disability,PLACES_Pct_Short_Sleep,PLACES_Pct_Stroke,PLACES_Pct_Teeth_Lost_65Plus,PLACES_Pct_Transportation_Barrier,PLACES_Pct_Uninsured_18_64,PLACES_Pct_Utility_Shutoff_Threat,PLACES_Pct_Vision_Disability
Dover Base Housing,Delaware,30.8,24.5,59.3,14.9,5.8,6.8,86.0,13.6,59.2,5.5,11.9,11.9,60.4,22.7,12.5,18.3,13.5,11.8,17.3,12.8,5.9,34.8,34.7,12.8,7.6,21.3,33.5,73.3,13.3,42.4,27.7,80.4,3.5,41.6,3.1,12.5,7.9,8.9,8.1,4.8
Edgemoor,Delaware,28.2,23.4,58.4,15.6,5.5,6.9,86.7,13.8,59.5,5.0,11.2,12.1,60.9,21.9,11.0,17.2,15.8,13.8,17.0,11.8,4.8,33.6,33.5,14.3,7.8,23.5,33.4,77.5,12.5,35.4,25.0,78.8,3.4,38.2,3.1,14.2,9.1,8.1,9.6,4.6
Ellendale,Delaware,32.8,25.3,62.2,15.2,7.6,6.4,83.9,16.4,57.9,6.5,11.6,18.2,52.5,22.3,12.6,22.8,22.1,19.7,18.4,14.8,6.5,37.3,37.5,17.4,10.0,24.8,34.6,79.3,15.0,38.8,31.6,79.1,4.6,39.6,3.8,14.3,11.1,13.3,11.8,6.3
Elsmere,Delaware,33.7,24.4,57.0,15.8,7.1,6.9,83.6,17.0,56.3,6.1,10.9,15.5,54.9,23.3,12.4,22.6,21.4,18.4,18.5,14.6,6.2,33.7,34.8,17.7,9.7,24.3,34.3,75.1,15.3,36.9,31.5,76.2,4.4,37.9,3.5,16.9,11.3,14.7,11.2,6.2
Farmington,Delaware,32.6,25.5,57.8,16.3,6.9,7.8,84.3,15.3,55.1,5.7,12.2,14.9,59.9,25.4,10.7,18.6,12.7,11.4,19.1,13.7,6.4,33.9,34.8,11.6,8.3,21.5,34.6,65.3,13.2,41.6,27.9,78.9,3.3,39.5,3.0,14.6,7.5,8.6,7.2,4.3
Felton,Delaware,33.0,25.6,59.5,14.5,6.6,7.1,85.1,15.4,57.9,5.3,12.9,14.0,61.3,24.3,11.8,19.8,15.6,14.1,19.0,13.8,5.7,35.0,34.3,14.2,8.7,23.0,35.8,74.7,14.3,43.1,29.7,80.3,3.7,41.1,3.2,16.0,8.7,9.5,8.8,5.0
Fenwick Island,Delaware,21.9,21.7,56.8,19.9,4.6,8.0,86.9,10.9,67.4,4.5,10.1,10.6,70.2,22.2,6.9,12.0,7.2,5.1,14.4,10.1,5.2,27.8,36.6,6.5,5.5,17.8,29.6,83.0,8.2,28.4,17.4,77.9,2.1,30.6,2.2,8.4,4.7,6.2,4.1,2.8
Frankford,Delaware,29.8,22.7,60.5,15.6,5.7,5.7,85.3,14.4,59.5,5.7,10.5,14.0,54.4,19.5,12.2,20.9,19.5,14.7,16.0,13.3,5.6,34.7,37.3,16.1,8.2,24.2,33.6,79.8,13.3,36.9,29.7,78.6,3.9,38.3,3.4,15.9,9.7,16.2,9.7,5.8
Frederica,Delaware,32.3,25.1,59.6,14.5,6.2,6.9,85.4,14.9,60.6,5.2,12.5,13.4,61.5,23.6,11.8,19.3,15.2,13.4,18.5,13.4,5.6,34.7,34.2,14.0,8.3,23.0,35.5,73.8,13.8,42.9,29.6,80.3,3.5,41.4,3.1,14.1,8.4,9.6,8.6,4.9
Georgetown,Delaware,38.7,25.6,61.4,14.3,9.4,6.2,80.6,19.7,54.3,7.6,11.0,20.7,48.2,21.4,14.9,31.1,32.8,29.2,18.4,18.0,7.7,37.7,39.0,23.9,12.6,25.8,35.2,76.5,19.0,40.7,39.7,77.0,6.6,38.0,4.3,23.7,15.7,26.3,15.5,9.9
