Column,Source,Source Key,Geography Level
BRFSS_Pct_Flu_Vaccinated_65_Plus_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Pneumonia_Vaccinated_65_Plus_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Pneumonia_Vaccinated_65_Plus,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Pneumonia_Vaccinated_65_Plus_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Pneumonia_Vaccinated_65_Plus_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_HIV_Tested_Ever_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_HIV_Tested_Ever,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_HIV_Tested_Ever_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_HIV_Tested_Ever_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Permanent_Teeth_Removed_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Permanent_Teeth_Removed,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Permanent_Teeth_Removed_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Permanent_Teeth_Removed_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_All_Teeth_Removed_65_Plus_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_All_Teeth_Removed_65_Plus,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_All_Teeth_Removed_65_Plus_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_All_Teeth_Removed_65_Plus_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Walking_Difficulty_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Walking_Difficulty,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Walking_Difficulty_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Walking_Difficulty_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Seeing_Difficulty_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Seeing_Difficulty,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Seeing_Difficulty_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
